
1 10
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 8 9
  7 5 8 9
  8 6 7 9
  9 6 7 8

2 10
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 5 6
  5 3 4 7
  6 4 8 9
  7 5 8 9
  8 6 7 9
  9 6 7 8

3 10
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 6 8
  6 4 5 9
  7 4 8 9
  8 5 7 9
  9 6 7 8

4 10
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 8 9
  6 4 7 8
  7 4 6 9
  8 5 6 9
  9 5 7 8

5 10
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 8 9
  6 4 8 9
  7 4 8 9
  8 5 6 7
  9 5 6 7

6 10
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 6 8
  6 3 5 9
  7 4 8 9
  8 5 7 9
  9 6 7 8

7 10
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 8 9
  6 3 7 8
  7 4 6 9
  8 5 6 9
  9 5 7 8

8 10
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 4 6
  4 1 3 7
  5 2 8 9
  6 3 8 9
  7 4 8 9
  8 5 6 7
  9 5 6 7

9 10
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 7
  5 2 8 9
  6 3 4 8
  7 3 4 9
  8 5 6 9
  9 5 7 8

10 10
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 6 9
  6 3 4 5
  7 3 8 9
  8 4 7 9
  9 5 7 8

11 10
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 7 8
  6 3 4 9
  7 3 5 9
  8 4 5 9
  9 6 7 8

12 10
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 7 9
  6 3 4 8
  7 3 5 9
  8 4 6 9
  9 5 7 8

13 10
  0 1 2 3
  1 0 2 4
  2 0 1 5
  3 0 6 7
  4 1 6 8
  5 2 7 9
  6 3 4 9
  7 3 5 8
  8 4 7 9
  9 5 6 8

14 10
  0 1 2 3
  1 0 4 5
  2 0 4 5
  3 0 6 7
  4 1 2 8
  5 1 2 9
  6 3 8 9
  7 3 8 9
  8 4 6 7
  9 5 6 7

15 10
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 5 7
  4 1 2 8
  5 1 3 9
  6 2 7 8
  7 3 6 9
  8 4 6 9
  9 5 7 8

16 10
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 5 7
  4 1 2 8
  5 1 3 9
  6 2 7 9
  7 3 6 8
  8 4 7 9
  9 5 6 8

17 10
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 5 7
  4 1 2 8
  5 1 3 9
  6 2 8 9
  7 3 8 9
  8 4 6 7
  9 5 6 7

18 10
  0 1 2 3
  1 0 4 5
  2 0 4 6
  3 0 7 8
  4 1 2 7
  5 1 8 9
  6 2 8 9
  7 3 4 9
  8 3 5 6
  9 5 6 7

19 10
  0 1 2 3
  1 0 4 5
  2 0 6 7
  3 0 8 9
  4 1 6 8
  5 1 7 9
  6 2 4 9
  7 2 5 8
  8 3 4 7
  9 3 5 6
