
1 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 7 8
  7 5 6 9
  8 6 10 11
  9 7 10 11
 10 8 9 11
 11 8 9 10

2 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 8 9
  7 5 8 10
  8 6 7 11
  9 6 10 11
 10 7 9 11
 11 8 9 10

3 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 8 9
  7 5 10 11
  8 6 9 10
  9 6 8 11
 10 7 8 11
 11 7 9 10

4 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 8 9
  7 5 10 11
  8 6 10 11
  9 6 10 11
 10 7 8 9
 11 7 8 9

5 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 5 6
  5 3 4 7
  6 4 7 8
  7 5 6 9
  8 6 10 11
  9 7 10 11
 10 8 9 11
 11 8 9 10

6 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 5 6
  5 3 4 7
  6 4 8 9
  7 5 8 10
  8 6 7 11
  9 6 10 11
 10 7 9 11
 11 8 9 10

7 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 5 6
  5 3 4 7
  6 4 8 9
  7 5 10 11
  8 6 9 10
  9 6 8 11
 10 7 8 11
 11 7 9 10

8 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 5 6
  5 3 4 7
  6 4 8 9
  7 5 10 11
  8 6 10 11
  9 6 10 11
 10 7 8 9
 11 7 8 9

9 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 6 7
  6 4 5 8
  7 4 5 9
  8 6 10 11
  9 7 10 11
 10 8 9 11
 11 8 9 10

10 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 6 8
  6 4 5 7
  7 4 6 9
  8 5 10 11
  9 7 10 11
 10 8 9 11
 11 8 9 10

11 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 6 8
  6 4 5 9
  7 4 8 10
  8 5 7 11
  9 6 10 11
 10 7 9 11
 11 8 9 10

12 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 6 8
  6 4 5 9
  7 4 9 10
  8 5 10 11
  9 6 7 11
 10 7 8 11
 11 8 9 10

13 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 6 8
  6 4 5 9
  7 4 10 11
  8 5 10 11
  9 6 10 11
 10 7 8 9
 11 7 8 9

14 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 8 9
  6 4 7 8
  7 4 6 10
  8 5 6 11
  9 5 10 11
 10 7 9 11
 11 8 9 10

15 12
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 5
  4 2 6 7
  5 3 8 9
  6 4 7 10
  7 4 6 10
